Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11628,2022-10-27,-0.012149549,-0.099615146,-0.111802649,21,100
Market-Adjusted Model,11636,2022-10-27,-0.17204304,-0.259337412,-0.27169614,21,100
Market-Adjusted Model,11644,2022-10-27,0.0236262873,-0.053256404,-0.076026813,21,100
Market-Adjusted Model,11654,2022-10-27,-0.113268627,-0.212810468,-0.212921727,21,100
Market-Adjusted Model,11664,2022-10-27,-0.083894306,-0.176601524,-0.183547406,21,100
Market-Adjusted Model,11674,2022-10-27,0.1216386572,0.0195842623,0.021985557,21,100
Market-Adjusted Model,11691,2022-10-27,0.0678739245,-0.019271819,-0.031779176,21,100
Market-Adjusted Model,11701,2022-10-27,0.1109054747,0.0115493348,0.0112523746,21,100
Market-Adjusted Model,11731,2022-10-27,0.2659821825,0.1413697701,0.1663290824,21,100
Market-Adjusted Model,11748,2022-10-27,0.102636882,0.0154867938,0.0029837819,21,100
Market-Adjusted Model,11752,2022-10-27,0.0790282796,-0.007403213,-0.020624821,21,100
Market-Adjusted Model,11762,2022-10-27,0.2031762402,0.0901593275,0.1035231401,21,100
Market-Adjusted Model,11775,2022-10-27,0.1758333015,0.0692458411,0.0761802014,21,100
Market-Adjusted Model,11786,2022-10-27,-0.311111125,-0.418355737,-0.410764225,21,100
Market-Adjusted Model,11790,2022-10-27,0.1335187132,0.0292578886,0.033865613,21,100
Market-Adjusted Model,11803,2022-10-27,0.1204238935,0.0277901834,0.0207707934,21,100
Market-Adjusted Model,11809,2022-10-27,0.0523741734,-0.041571929,-0.047278927,21,100
Market-Adjusted Model,11825,2022-10-27,0.004838078,-0.034122071,-0.032472093,16,100
Market-Adjusted Model,11844,2022-10-27,0.1428571416,0.0374542169,0.0432040415,21,100
Market-Adjusted Model,11845,2022-10-27,0.231368593,0.1159667354,0.1317154929,21,100
Market-Adjusted Model,11850,2022-10-27,0.1226252125,0.020248728,0.0229721124,21,100
Market-Adjusted Model,11884,2022-10-27,0.0837050296,-0.01045888,-0.01594807,21,100
Market-Adjusted Model,11891,2022-10-27,0.1430884473,0.048769431,0.0434353472,21,100
Market-Adjusted Model,11955,2022-10-27,0.0445091966,-0.053451613,-0.055143904,21,100
Market-Adjusted Model,11990,2022-10-27,0.273884627,0.1555242188,0.1742315269,21,100
Market-Adjusted Model,11995,2022-10-27,0.0874512138,-0.006823493,-0.012201886,21,100
Market-Adjusted Model,11996,2022-10-27,0.0508454119,-0.048688446,-0.048807688,21,100
Market-Adjusted Model,12008,2022-10-27,0.0884244645,-0.006576661,-0.011228636,21,100
Market-Adjusted Model,12009,2022-10-27,0.5384615466,0.3699680613,0.4388084465,21,100
